name,gender
Taylor Swift,female
Chris Stapleton,male
Juice WRLD,male
Playboi Carti,male
The Weeknd,male
Adrianne Lenker,female
21 Savage,male
King Von,male
Steve Lacy,male
Conan Gray,male
Bad Bunny,male
Polo G,male
Drake,male
Brent Faiyaz,male
Tame Impala,band
Lil Uzi Vert,non-binary
Lil Baby,male
Don Toliver,male
Glass Animals,band
Mac Miller,male
$uicideboy$,band
Pop Smoke,male
Gracie Abrams,female
Dua Lipa,female
Ariana Grande,female
GIVĒON,male
Phoebe Bridgers,female
Zach Bryan,male
The Strokes,band
Bryson Tiller,male
Noah Kahan,male
Hotel Ugly,male
Kali Uchis,female
Key Glock,male
Gunna,male
YoungBoy Never Broke Again,male
Joji,male
Eminem,male
Future,male
Halsey,genderfluid
Rauw Alejandro,male
Timo Krantz,male
Ava Max,female
Eslabon Armado,band
Charli xcx,female
mgk,male
Diplo,male
Young Dolph,male
Luke Combs,male
HARDY,male
"Tyler, The Creator",male
Lee Brice,male
Miley Cyrus,genderfluid
5 Seconds of Summer,band
NLE Choppa,male
Gabby Barrett,female
Rod Wave,male
Wiz Khalifa,male
Lil Yachty,male
Dominic Fike,male
Brandon Lake,male
J Balvin,male
Lil Tecca,male
Ken Carson,male
Megan Thee Stallion,female
Selena Gomez,female
The Neighbourhood,band
TV Girl,band
Jelly Roll,male
Ozzy Osbourne,male
Sam Hunt,male
Eyedress,male
Junior H,male
Mt. Joy,band
Noah Cyrus,female
Koe Wetzel,male
Tems,female
Jack Harlow,male
Lil Durk,male
Loathe,band
Shoreline Mafia,band
Justin Bieber,male
Penelope Scott,female
Lady Gaga,female
Jhené Aiko,female
Thundercat,male
Tate McRae,female
Sir Chloe,band
Elevation Worship,band
BTS,band
Sam Smith,non-binary
Bring Me The Horizon,band
Trippie Redd,male
Luke Bryan,male
Khruangbin,band
Kehlani,non-binary
We The Kingdom,band
Colter Wall,male
Kygo,male
blackbear,male
Tory Lanez,male
Freddie Gibbs,male
BLACKPINK,band
Thee Sacred Souls,band
Sleepy Hallow,male
Powfu,male
Maluma,male
PARTYNEXTDOOR,male
Clams Casino,male
wave to earth,band
La Adictiva,band
StaySolidRocky,male
Myke Towers,male
Will Wood,male
Ellie Goulding,female
Cleo Sol,female
Brent Cobb,male
SZA,female
Matt Maltese,male
Muscadine Bloodline,band
Five Finger Death Punch,band
Lauv,male
A Boogie Wit da Hoodie,male
Coyote Theory,band
Jdot Breezy,male
DaBaby,male
Niall Horan,male
Kid Cudi,male
Dustin Lynch,male
Doechii,female
LUCKI,male
VOILÀ,band
Cardi B,female
Lizzy McAlpine,female
G Herbo,male
Moneybagg Yo,male
Beach Bunny,band
Joyner Lucas,male
Anuel AA,male
Bee Gees,band
SAINt JHN,male
Maddie & Tae,band
Kelsea Ballerini,female
DJ Scheme,male
$NOT,male
Jay Wheeler,male
Ozuna,male
THE ANXIETY,band
Cody Carnes,male
Orion Sun,female
Will Paquin,male
Doja Cat,female
Lil Darkie,male
YNW Melly,male
Deftones,band
Adelmar Borrego,male
Wild Rivers,band
JAWNY,male
Carly Pearce,female
Stray Kids,band
Sleep Token,band
Mi Banda El Mexicano,band
Sturgill Simpson,male
Lil Wayne,male
Bad Omens,band
Agust D,male
Wizkid,male
Omar Apollo,male
Panchiko,band
Hotboii,male
Flo Milli,female
