artist_name,artist_id,genres,popularity,followers
Taylor Swift,06HL4z0CvFAxyc27GXpf02,[],98,136112787
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,['country'],84,8339679
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['melodic rap', 'emo rap']",89,39820404
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,['rage rap'],94,14064414
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,[],97,103633316
Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,[],76,1085995
21 Savage,1URnnhqYAYcrqrcwql10ft,[],89,22376663
King Von,6QtgPSJPSzcnn7dPZ4VINp,['drill'],80,6624237
Steve Lacy,57vWImR43h4CaDao012Ofp,[],82,5883223
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,[],80,11608342
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",100,94271022
Polo G,6AgTAQt8XS6jRWi4sX7w49,[],80,12555306
Drake,3TVXtAsR1Inumwj472S9r4,"['rap', 'hip hop']",98,97942973
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,['r&b'],84,7353556
Tame Impala,5INjqkS1o8h1imAzPqGZBb,"['indie', 'psychedelic pop']",82,8789265
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,['melodic rap'],86,18710851
Lil Baby,5f7VJjfbwm532GiveGC0ZK,[],88,20284901
Don Toliver,4Gso3d4CscCijv0lmajZWs,[],87,6539540
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,[],77,4448768
Mac Miller,4LLpKhyESsyAXpc4laK94U,[],85,11711331
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,"['dark trap', 'emo rap', 'horrorcore', 'punk rap', 'cloud rap', 'underground hip hop']",86,8421895
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'drill', 'new york drill']",79,15155777
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,[],89,5395590
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,['pop'],89,45871460
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],95,104933521
GIVĒON,4fxd5Ee7UefO4CUXgwJ7IP,['r&b'],80,4635394
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,[],79,2807120
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,"['country', 'red dirt']",88,6468584
The Strokes,0epOFNiUfyON9EYx7Tpr6V,"['garage rock', 'indie rock', 'alternative rock']",78,6233906
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,['r&b'],82,9911261
Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,[],85,4040766
Hotel Ugly,35WVTyRnKAoaGExqgktVyb,[],74,950520
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,[],87,8732985
