image,face,FEMALE_GENITALIA_COVERED,BUTTOCKS_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED,MALE_BREAST_EXPOSED,ANUS_EXPOSED,FEET_EXPOSED,BELLY_COVERED,FEET_COVERED,ARMPITS_COVERED,ARMPITS_EXPOSED,BELLY_EXPOSED,MALE_GENITALIA_EXPOSED,ANUS_COVERED,FEMALE_BREAST_COVERED,BUTTOCKS_COVERED
00TZJ67UEWOxFqzfQwsZkO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00V1MSXp0ral9K394aItww,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00VYPwlhwXGKV7KZCL0AZ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00wSTrFxoSzA7eeS1UxHgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012dJutTI1nox9KAK5ER31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
013WXRAOja0kZ6gnlTCwJ5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01AWRFHGz9ioWiPcFgqGrv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01G2mx0ulpRXWEYr7jnVvI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01JfUzlxiuWCf6al7EJnQm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01d2Rn2VtB6THtOb9nwM9p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01dPJcwyht77brL4JQiR8R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01eo94qU3vhVzEsgAjMLz2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01fUH3E30d9sjlzNV3jNHu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020ECAUF5D5ySH39sIIYpI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024NiYjpfHJGZmOw68oa5i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02G9Jo5F2exoSiLml9wyQj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02GDaShX8vOw5tcak3OXow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02Mi6lld23cYcBeXbUbo0s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02SKwqYSENWwsZIZ9epjES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02sXWcIVVNCGr6WE30UJyZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02uWB8Kekadkl3yGBoOOcx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
037hz3oZyrgcJOheyhPMnC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03DLVOMzKutL4B0tU6s1je,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03EqExvZuxLK86huLxGIa2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03WcbJcmiYID0oOG8U8uvy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03Y0AUSO0y4o22FL1732Yi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03guxdOi12XJbnvxvxbpwG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03jEIpwDBf80jqCrwyPrhv,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
048EFFeqW6f32JRXrO27Pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04BciTuViJVU5VPvmNCGaV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
04GxVH15zJEDngF4Qf5Wvs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04Jeg1qvzqUKsEzSUx1IG9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04gRvDvXy6ctlFxI3G7Wd5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04lPG1CAJHz9itLjPkiyuU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04mkS7FooK8fRbB626T9NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
059i5tLNW2ASf1qoVn6LSX,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
05I8FltCMnGa3kE38mpOkL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05jbNkYoEQdjVDHEHtg1gY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05l8JgDcorVDRyky1RT8fL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05vrswB4MQ52sF3ZyX1jDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06QKM7WJc1kybQdxhYNdep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06UoTVgpPiGnRPGjowrG3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06q6BDUpP6OS8Xnx3YC2M0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
070rEVRV6FWywkncMWLhs6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
075lV4wdtLwFvIvCUdSYhL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07PyHnjYzUmaQAjKK5WtCk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07Rc5hrzwLGKzBhNsKdaL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07YX7oCO5D6zr1NVDEeSAd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07cebs6wHlKpneWtSKa0d8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07ta8NK5ZipBOVSQgbGxtd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07w0rG5TETcyihsEIZR3qG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0849g2PcFwfMJup2fKh6p0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
089AKLQMLxVzXnPCoj2T6L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08WdLYpxJcz22vsfyiwx2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
