image,label,confidence,box
6LNJPtXOx17fKgSV2AlaMU.jpg,FACE_FEMALE,0.8495,"[347, 141, 112, 112]"
6LNJPtXOx17fKgSV2AlaMU.jpg,FEMALE_BREAST_COVERED,0.6188,"[316, 365, 96, 106]"
6TJh9B7dVXOoGjnDRUY7Ea.jpg,none_detected,0,
33ichA2TzIOdW248hRlqpH.jpg,none_detected,0,
50Ud74XX8wnH2RK0n6j5np.jpg,none_detected,0,
7cVfHcCdsGH28PMMRdTQg5.jpg,FEET_COVERED,0.738,"[348, 532, 101, 93]"
7cVfHcCdsGH28PMMRdTQg5.jpg,FACE_FEMALE,0.531,"[315, 44, 62, 56]"
7cVfHcCdsGH28PMMRdTQg5.jpg,FEMALE_BREAST_COVERED,0.3442,"[348, 136, 62, 72]"
5xD1PSd5c5APDM0SdkkqnH.jpg,none_detected,0,
3YDrqg48drZ31c2b7wDvZS.jpg,none_detected,0,
1Khdy0BbHmXrL4C2SLTKGi.jpg,none_detected,0,
5cF8WcFIR0ZtIzoqjRrB78.jpg,none_detected,0,
7HLQ5ZFtSAReHF5veBMO6d.jpg,none_detected,0,
07PyHnjYzUmaQAjKK5WtCk.jpg,FACE_FEMALE,0.6857,"[227, 66, 206, 192]"
6kuUoWmtG2Hn2pWJx19pRN.jpg,FACE_FEMALE,0.5172,"[304, 285, 49, 51]"
36PkMUkelFPIKRVILL6c08.jpg,none_detected,0,
1ZRAeQ6zsPJ5W1K3DvpRpP.jpg,none_detected,0,
6hBQkPnq5u1BwZncSEDEgs.jpg,FACE_FEMALE,0.6599,"[256, 128, 97, 113]"
6hBQkPnq5u1BwZncSEDEgs.jpg,FACE_MALE,0.4041,"[380, 209, 117, 125]"
2GUUSp5HD5OhINznTpd4TM.jpg,FACE_MALE,0.748,"[282, 261, 72, 73]"
4tFeJmoYwsf4DBNTqAl4bf.jpg,none_detected,0,
1y6Vw5HI0HmLOY2EtzLiPh.jpg,FACE_FEMALE,0.8147,"[198, 98, 273, 254]"
2qJw6w5XwQO0PQlSWPu7Tw.jpg,FACE_FEMALE,0.8357,"[517, 226, 77, 75]"
2qJw6w5XwQO0PQlSWPu7Tw.jpg,FACE_FEMALE,0.7652,"[193, 238, 82, 82]"
2qJw6w5XwQO0PQlSWPu7Tw.jpg,FACE_FEMALE,0.7535,"[359, 295, 80, 76]"
2qJw6w5XwQO0PQlSWPu7Tw.jpg,FACE_FEMALE,0.6951,"[45, 207, 76, 67]"
2qJw6w5XwQO0PQlSWPu7Tw.jpg,FEMALE_BREAST_COVERED,0.355,"[6, 345, 74, 78]"
5DvJgsMLbaR1HmAI6VhfcQ.jpg,FEET_COVERED,0.7202,"[299, 525, 60, 72]"
5DvJgsMLbaR1HmAI6VhfcQ.jpg,FEET_COVERED,0.2723,"[273, 359, 90, 91]"
4A7UKf6fz7Vn7jxWE5OYXv.jpg,FACE_FEMALE,0.7873,"[344, 179, 105, 101]"
4A7UKf6fz7Vn7jxWE5OYXv.jpg,FEMALE_BREAST_COVERED,0.4627,"[323, 371, 133, 115]"
4A7UKf6fz7Vn7jxWE5OYXv.jpg,FEMALE_BREAST_COVERED,0.2782,"[249, 365, 94, 95]"
