image,skin_percentage
6LNJPtXOx17fKgSV2AlaMU.jpg,5.51
6TJh9B7dVXOoGjnDRUY7Ea.jpg,0.74
33ichA2TzIOdW248hRlqpH.jpg,0.0
50Ud74XX8wnH2RK0n6j5np.jpg,0.0
7cVfHcCdsGH28PMMRdTQg5.jpg,0.0
5xD1PSd5c5APDM0SdkkqnH.jpg,0.61
3YDrqg48drZ31c2b7wDvZS.jpg,0.0
1Khdy0BbHmXrL4C2SLTKGi.jpg,26.83
5cF8WcFIR0ZtIzoqjRrB78.jpg,2.33
7HLQ5ZFtSAReHF5veBMO6d.jpg,14.92
07PyHnjYzUmaQAjKK5WtCk.jpg,11.52
6kuUoWmtG2Hn2pWJx19pRN.jpg,0.76
36PkMUkelFPIKRVILL6c08.jpg,0.0
1ZRAeQ6zsPJ5W1K3DvpRpP.jpg,2.2
6hBQkPnq5u1BwZncSEDEgs.jpg,5.13
2GUUSp5HD5OhINznTpd4TM.jpg,6.62
4tFeJmoYwsf4DBNTqAl4bf.jpg,52.46
1y6Vw5HI0HmLOY2EtzLiPh.jpg,11.04
2qJw6w5XwQO0PQlSWPu7Tw.jpg,11.85
5DvJgsMLbaR1HmAI6VhfcQ.jpg,2.99
4A7UKf6fz7Vn7jxWE5OYXv.jpg,28.92
1eDL4Z6TcdCDul9hip9WiS.jpg,39.69
1wvJf32qDHmwku12nfzVGN.jpg,46.68
3fhbnJgXLDZIbJCQjZdE36.jpg,7.21
1cujDxjZaAtJXnvyW7sl3U.jpg,16.11
6Xo2PDEoQKzCndIbks2kvu.jpg,0.0
7g0PJ7VbsOkYTECUFkyNPN.jpg,0.58
73TcBRSRsPLKmxnjnVsSV3.jpg,27.32
7CBO8p3euEtKjFQ7QGhE1T.jpg,30.42
1HixYJpe6AJWGDpEbb7ZuE.jpg,27.8
2AKIOgc7sL3yzA7AElE1SS.jpg,31.93
7f6xPqyaolTiziKf5R5Z0c.jpg,21.6
6putGW0KxGMrgTZzplp2pF.jpg,0.02
2MiSaUtCnkqNRK2BZx2TZt.jpg,0.0
3fWRZINvsj236ZaWNo6g9J.jpg,23.79
2B87zXm9bOWvAJdkJBTpzF.jpg,5.49
6IsMtT2YgWykjX7SiuVYxR.jpg,34.32
4Rs8FkCMRVYg9CtpKODlVN.jpg,0.07
4YomxhmDglPvD93W3T6l1V.jpg,31.18
1YV5gnob3qCnMQuVomwGwG.jpg,25.94
4czdORdCWP9umpbhFXK2fW.jpg,0.39
6ylFfzx32ICw4L1A7YWNLN.jpg,11.41
687u2c1pMAlO1CqyIzOflo.jpg,5.86
5yRDcd3RCAD4IdSzXbt38p.jpg,3.37
0YLEX835pZ941BUYq4sij3.jpg,4.37
0TSbHnhn58NpuKY2GumzKj.jpg,2.9
59NuGXeEbOgKEpo8kQBHPg.jpg,0.08
2WaRFVSRoYF4sW35doUmdF.jpg,14.15
259OLvPj1qoZpCXXQRavBx.jpg,28.48
1o8ExR66PcMb1h8a1nhi9k.jpg,40.25
070rEVRV6FWywkncMWLhs6.jpg,4.06
5Ozc4IkXY64OB1YH4hQYr4.jpg,0.01
57KFwKnC0ZjaIQGnhE7ops.jpg,0.0
235jLMet5mD21OIha0Q3av.jpg,0.0
2JC96lAWIMYId0no3JwmxI.jpg,1.46
7eCok0PbbBFHrRjsRMIgX0.jpg,0.0
4Q7cRXio6mF2ImVUCcezPO.jpg,0.0
0RemO3TlI1NdaeWqdE4E9H.jpg,19.54
1NFIQf0qEavj0zQVZtrv9P.jpg,38.68
3lWKs4Djncyasypuyb2g1p.jpg,85.53
3TSMSh5dai7WEnEGOoMXBZ.jpg,4.25
7BPsznsxwXLzvDY9Ptohc9.jpg,2.15
6JlCkqkqobGirPsaleJpFr.jpg,0.42
6KhoIz4SDYW5zEnl0O9bRB.jpg,3.3
4xufNpL4ZdB5cySCcVZ4Vn.jpg,19.23
1O51JYs5jdmREsm45dyeGc.jpg,8.84
3e4el0X3Rqx0Lms74bUrkJ.jpg,1.64
3njwvTdcwixkFLyFK7ZAbw.jpg,27.88
73P5LAZvZquPqD5naqW2Mo.jpg,0.37
3SP1QoyxNnAeUbeuHkkR0y.jpg,8.17
5zDqo50KERwnv3vlFE4y99.jpg,5.07
1MOub955Uer957RVqqkF2a.jpg,0.96
7uR0WmniogdAeIinq4CCXY.jpg,4.3
2WmJ5wp5wKBlIJE6FDAIBJ.jpg,34.31
5O8GhyD1x5juQmZaQm2Mb9.jpg,13.18
1zvRP4zj0nfsHeeoeXuanm.jpg,17.79
40HsqPqeSR9Xe3IyAJWr6e.jpg,38.64
2rhNQbqRNxiNQkDXTffe1V.jpg,8.69
1RdsitXNm1aQb8Ir7f2E72.jpg,65.26
4OnjUMJXgFC6lG8JHOrwuu.jpg,8.88
0SzoksypeognxYJJOJEYip.jpg,39.98
3tsXyEbUQehXPaRFCS8K1n.jpg,4.99
4MTtBjQEt7i752hISXjKqA.jpg,10.32
5REuIeh4EBrkU0Nrz3n5jT.jpg,11.86
0fO1KemWL2uCCQmM22iKlj.jpg,0.58
1DT4EIajvxjEkGdvZ707xS.jpg,3.18
2xUAnts1jM9tnbxi23Jf5O.jpg,15.47
3k5awyxfflQsiCRuwUfbm3.jpg,15.32
22269npvtP1J11HLRYouyG.jpg,35.68
6yC6aLzX5knhWpKDidwxft.jpg,21.47
0dBbQ96On59gzzsYpxsjOL.jpg,17.76
0A17WGpndqdpeoYTnGPFa2.jpg,2.43
4t6ZuKxUPVRUf31j4cv8Uv.jpg,0.46
338LPt19lJ2GiGmxDSOAtR.jpg,0.0
4R6FV9NSzhPihHR0h4pI93.jpg,1.07
3sW7wD2qdMjs7KncaOoIJ5.jpg,0.0
5NchVUjB8yqNhqSeBYaFVy.jpg,1.28
4T7cvmdhs8ehPlhghwStjM.jpg,1.72
6TQ8nqw43uUOWu7Yqp58ko.jpg,19.75
500D9cuyZpRq0mh13uxVUL.jpg,9.98
0EiicIJj442bfIV1FfTaol.jpg,21.7
7vXNMveRwef98O1M6I3Lrb.jpg,0.0
3fonA82Hl7huJiQCwKkzGA.jpg,52.27
6ofMZXVeY7dABB00zHp8WV.jpg,0.87
3Fk8yQvPlCHgwR2pNhEIRA.jpg,0.0
2yI4m5Yu2tl8v0It5P9WVz.jpg,3.17
1oocvwkq7m9gmJma0SceUi.jpg,1.58
5WW33U9SIpfuwKhddvPVIH.jpg,0.0
2Y0sVUECK4Ss3G2QYYLk2w.jpg,0.57
4DxNdQzm6cBYuSn4dCimmT.jpg,4.79
4FJBxFUnQAO5w1s3oCbgyW.jpg,42.51
0E4xv5gPjykrwBgBZzI8XG.jpg,0.0
6HBW4VCennw5rKtdCynJyC.jpg,70.67
5vSyZglUnnQw4nlQC4QaRO.jpg,1.6
3qQNMHl395aHGiMO9OptjU.jpg,11.69
4ffJTc6OVVJ7rr65r5CGbq.jpg,11.4
6blgSRdbfka5lEtu9iivkg.jpg,10.48
6SDPwUC74HcxwB84kPs4pM.jpg,0.0
0NIuyJBQRvPaIjnyvTMBIe.jpg,0.0
18iFxjZugvKhuNNMbLjZJF.jpg,0.0
6oy0L8HUUhMflUaqrpqr9P.jpg,4.26
5iq1WKdgFlbPWxS3hWbMGn.jpg,1.03
3SzqS1H5dj8f450YhV9YbP.jpg,0.05
06QKM7WJc1kybQdxhYNdep.jpg,0.03
5qq7QrnwC09xndOY2J1HtP.jpg,3.1
7vNqlfthayItIbI0Ssmfoa.jpg,0.0
1FJVbtVFLARPKbn1HepNh1.jpg,26.28
58IBgtbmRfMrGBbnMrDq2A.jpg,12.68
59ULskOkBMij4zL8pS7mi0.jpg,11.45
5UcGyEltve5psjxSRsHx8E.jpg,61.92
26JLBgmg9yNxBcdBhX0f63.jpg,0.66
3t9rYn3T0az1o46W1f0SuS.jpg,12.66
3CXa4AY5Rt4kymz1vW90WR.jpg,7.03
6al2VdKbb6FIz9d7lU7WRB.jpg,0.0
4dfAJiDQHQf4dGX0ZdtxPh.jpg,20.68
1REqQsUK0WRYQVzsmdsj04.jpg,4.79
6uoGeT623i76TwlgYFfe42.jpg,70.65
