album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url,genre,genre_cleaned,genre_condensed
0NGHR9zjS5eFFlqtClA9VV,Best White Noise For Sleeping Baby,Dream Supplier,2020-04-29,6,86,https://i.scdn.co/image/ab67616d0000b273f036cfd075904b4e8445877c,ambient,relaxed,relaxed
2fenSS68JI1h4Fo296JfGr,folklore,Taylor Swift,2020-07-24,16,85,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,folk,folk,country/folk
0sOeI7pbAmIc8aDFyvkBUW,Starting Over,Chris Stapleton,2020-11-13,14,79,https://i.scdn.co/image/ab67616d0000b2739408342067e2ff50d69a3c98,country,country,country/folk
6n9DKpOxwifT5hOXtgLZSL,Legends Never Die,Juice WRLD,2020-07-10,22,80,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,juice wrld,rap,rap/hip hop
2QRedhP5RmKJiJ1i8VgDGR,Whole Lotta Red,Playboi Carti,2020-12-25,24,81,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,trap,rap,rap/hip hop
4yP0hdKOZPNshxUOjY0cZj,After Hours,The Weeknd,2020-03-20,14,85,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,synthpop,pop,pop
2Qt8Z1LB3Fsrf6nhBNsvUJ,songs,Adrianne Lenker,2020-10-23,11,80,https://i.scdn.co/image/ab67616d0000b273ab009ce861613653b14451b9,singer-songwriter,pop,pop
6wTyGUWGCilBFZ837k5aRi,SAVAGE MODE II,21 Savage,2020-10-02,15,78,https://i.scdn.co/image/ab67616d0000b273aa57907bf0cb2ca0c8cc74bc,trap,rap,rap/hip hop
7gGJ9rNtigRF53dsFo48Wp,Welcome to O'Block,King Von,2020-10-30,16,77,https://i.scdn.co/image/ab67616d0000b273429d4b3d9261b9ccc24d7d36,gangsta rap,rap,rap/hip hop
6m5qlaMzLtNsQDj3DQY5ji,The Lo-Fis,Steve Lacy,2020-12-04,15,76,https://i.scdn.co/image/ab67616d0000b273c3545bbe806b845c2b52bc20,steve lacy,r&b,r&b
