name,gender
Taylor Swift,female
Chris Stapleton,male
Juice WRLD,male
Playboi Carti,male
The Weeknd,male
Adrianne Lenker,female
21 Savage,male
King Von,male
Steve Lacy,male
Conan Gray,male
Bad Bunny,male
Polo G,male
Drake,male
Brent Faiyaz,male
Tame Impala,band
King Von,male
Lil Uzi Vert,non-binary
Lil Baby,male
Don Toliver,male
Glass Animals,band
Mac Miller,male
$uicideboy$,band
Taylor Swift,female
Pop Smoke,male
Gracie Abrams,female
Dua Lipa,female
Ariana Grande,female
GIVĒON,male
Phoebe Bridgers,female
Zach Bryan,male
The Strokes,band
Bryson Tiller,male
Noah Kahan,male
Hotel Ugly,male
Kali Uchis,female
Taylor Swift,female
Key Glock,male
Bad Bunny,male
Gunna,male
YoungBoy Never Broke Again,male
Joji,male
Zach Bryan,male
Eminem,male
Lil Baby,male
Future,male
Halsey,genderfluid
Rauw Alejandro,male
Timo Krantz,male
Ava Max,female
Eslabon Armado,band
Charli xcx,female
mgk,male
Diplo,male
Lil Uzi Vert,non-binary
Young Dolph,male
Luke Combs,male
HARDY,male
"Tyler, The Creator",male
Lee Brice,male
Miley Cyrus,genderfluid
5 Seconds of Summer,band
NLE Choppa,male
Gabby Barrett,female
Rod Wave,male
Wiz Khalifa,male
Lil Yachty,male
Dominic Fike,male
Brandon Lake,male
J Balvin,male
Lil Tecca,male
Ken Carson,male
Megan Thee Stallion,female
Selena Gomez,female
The Neighbourhood,band
Lil Yachty,male
TV Girl,band
Jelly Roll,male
Ozzy Osbourne,male
Rod Wave,male
Sam Hunt,male
Eyedress,male
Junior H,male
Mt. Joy,band
Dua Lipa,female
Noah Cyrus,female
Koe Wetzel,male
Tems,female
Jack Harlow,male
Lil Durk,male
Pop Smoke,male
Loathe,band
Shoreline Mafia,band
Gunna,male
Eslabon Armado,band
Justin Bieber,male
Penelope Scott,female
Lady Gaga,female
Jhené Aiko,female
Thundercat,male
Tate McRae,female
Sir Chloe,band
Elevation Worship,band
BTS,band
Sam Smith,non-binary
Bring Me The Horizon,band
Trippie Redd,male
Luke Bryan,male
Taylor Swift,female
Khruangbin,band
Junior H,male
Kehlani,non-binary
We The Kingdom,band
Colter Wall,male
Kygo,male
Pop Smoke,male
blackbear,male
Tory Lanez,male
Jelly Roll,male
Freddie Gibbs,male
BLACKPINK,band
Eslabon Armado,band
Thee Sacred Souls,band
Sleepy Hallow,male
Powfu,male
Maluma,male
PARTYNEXTDOOR,male
Clams Casino,male
BTS,band
wave to earth,band
La Adictiva,band
StaySolidRocky,male
Future,male
Myke Towers,male
Jack Harlow,male
Will Wood,male
Ellie Goulding,female
Cleo Sol,female
Brent Cobb,male
SZA,female
Matt Maltese,male
Muscadine Bloodline,band
Five Finger Death Punch,band
Lauv,male
A Boogie Wit da Hoodie,male
Coyote Theory,band
Jdot Breezy,male
DaBaby,male
Niall Horan,male
Kid Cudi,male
Dustin Lynch,male
Doechii,female
A Boogie Wit da Hoodie,male
LUCKI,male
The Weeknd,male
VOILÀ,band
Cardi B,female
Lizzy McAlpine,female
G Herbo,male
Moneybagg Yo,male
Junior H,male
Beach Bunny,band
Joyner Lucas,male
Anuel AA,male
Bee Gees,band
SAINt JHN,male
Maddie & Tae,band
YoungBoy Never Broke Again,male
Kelsea Ballerini,female
DJ Scheme,male
$NOT,male
