album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,16,83,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
7MNrrItJpom6uMJWdT0XD8,Dark Matter,Pearl Jam,2024-04-19,11,56,https://i.scdn.co/image/ab67616d00001e026fcdcbbd9cae9001ca5b20d5
4YQ8O3PQb7cZnnLeqNPaa1,HERicane,Lucky Daye,2024-04-19,1,40,https://i.scdn.co/image/ab67616d00001e028a9dc89bd612b7f4670e2390
4MGpOqMU3FlZ7li35laoBu,Teka (with Peso Pluma),DJ Snake,2024-04-17,1,48,https://i.scdn.co/image/ab67616d00001e0224861100b34630be0af122ce
0sJhrYC1988r2NNxsmzk3V,REBEL,Anne Wilson,2024-04-19,16,60,https://i.scdn.co/image/ab67616d00001e02f7ee7120f7bf51045dff090d
5nabWI5Yf9uYtDS79CXVHu,Define My Name,Nas,2024-04-19,1,36,https://i.scdn.co/image/ab67616d00001e02a56f5696231c1ad328fc9445
7hf5xjz74wwX1wS76DU2Ik,"Wasteland, Baby! (Special Edition)",Hozier,2019-03-01,19,53,https://i.scdn.co/image/ab67616d00001e02f0722706190993eadd8ad6aa
2fDJNwprKYSK4ovmRzcoe4,Baddy On The Floor,Jamie xx,2024-04-15,1,51,https://i.scdn.co/image/ab67616d00001e02ed5478e72ea12a7cc9bdaeac
2Cqf3izEp75CqTKgul5Mi1,For Life (feat. Nile Rodgers),Kygo,2024-04-19,1,60,https://i.scdn.co/image/ab67616d00001e027198e498826796ff81f560a7
2HLdCDKtyV4VxHLYk5xvAS,Espectacular,Sky Rompiendo,2024-04-18,1,57,https://i.scdn.co/image/ab67616d00001e020acf414348b3ca9a6f538690
51JYG8XPpVVVA7uQTnm4tI,Half Life,Wyatt Flores,2024-04-19,8,59,https://i.scdn.co/image/ab67616d00001e020a0de163efc03ffc3bc597af
1KkyOpscmbPAQzLNZDyI6o,Starburster,Fontaines D.C.,2024-04-17,1,48,https://i.scdn.co/image/ab67616d00001e020aa950a429f1a159fa211a75
59BxJKNg7wRYlJxAahb3YW,WAHALA (FEAT. OLAMIDE),CKay,2024-04-19,1,49,https://i.scdn.co/image/ab67616d00001e02133915918d2fee0b960a067d
1qJghQpnRM2sRbhX3lWXHz,Suffer In Silence,Tee Grizzley,2024-04-19,1,33,https://i.scdn.co/image/ab67616d00001e020bdb66dadbc9d4721bf0a30f
0VZCWi3C9oARyCsoZKCMhg,Damascus,Elvie Shane,2024-04-19,13,38,https://i.scdn.co/image/ab67616d00001e02f0b8b953717d68294b1cdc60
34GevB4U1WHwDcm7kQmANH,Vampire in Beverly Hills,Eyedress,2024-04-19,34,42,https://i.scdn.co/image/ab67616d00001e02415ca550a5a8bfd6b9a8bfa3
2LsEbodgqI6P1q7QEVe3P7,Memory Morning,Tourist,2024-04-19,10,35,https://i.scdn.co/image/ab67616d00001e02b8099f7ce6d7c58e642b2162
2GamOIjCp5gNSw7n4RKLZt,Cangrinaje,Nicky Jam,2024-04-18,1,3,https://i.scdn.co/image/ab67616d00001e02ce44de961be69af07afa2ed3
33oGkitXxjRXWQwCx00jDb,Dark Vacay,Cigarettes After Sex,2024-04-16,1,39,https://i.scdn.co/image/ab67616d00001e02bf0484dce581436a750ad0c1
2We3SA07PIDpZQmWvTm7CM,"A Song For You (Live At The Hollywood Bowl, Los Angeles, CA - April 29, 2023)",The Lumineers,2024-04-19,1,27,https://i.scdn.co/image/ab67616d00001e025ffb58f296e0d1ea7f353fa3
2e3Khs3vVusg6i0Ly2wni9,Undone (Love & Loss),Forest Blakk,2024-04-19,7,24,https://i.scdn.co/image/ab67616d00001e02633bdf06dfa1ab09b5dc6e16
7iRrjlIP9COrhuNaX65WZb,Fame Won’t Love You (feat. Paris Hilton),Sia,2024-04-19,1,31,https://i.scdn.co/image/ab67616d00001e02e56c4b51b98648bab52d0fde
6fFP8CR3WRLZxwnrvBfGTh,Happy World,Debbii Dawson,2024-04-19,1,39,https://i.scdn.co/image/ab67616d00001e0255bd10cdbcdd80c6ceb7d3b5
7ChVqPO3roVcHSLi32PnIK,TECHNICIAN,ODUMODUBLVCK,2024-04-19,1,43,https://i.scdn.co/image/ab67616d00001e02bb2dd17f8132677ddb3b8083
6s144Vjf21zEdbZpySRE82,Again,Still Woozy,2024-04-19,1,38,https://i.scdn.co/image/ab67616d00001e02ada0031f775d7a6232051c71
6I4MP7YoLlBWfiQCqjJc4d,"Heads I Win, Tails You Lose",The Alchemist,2024-04-19,13,35,https://i.scdn.co/image/ab67616d00001e0212d3962cf62fe44a5519543c
3ey0JVQZp7VBFWHEs7z6X1,Dennis Daughter (Deluxe Version),Lola Brooke,2024-04-19,16,24,https://i.scdn.co/image/ab67616d00001e026724c4400dbf8b62feaad51b
3l1waWo8qk4IVtyuzKD4bx,44ever,Logic,2024-04-19,2,35,https://i.scdn.co/image/ab67616d00001e02a50a08178825d84bf148c98c
1X1uDkDDs2BQiKlghA0gVQ,"Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,2024-04-19,2,51,https://i.scdn.co/image/ab67616d00001e026ab3bdfc661f121231cd4f78
5rNHpyAfV4fdowwcH1U1if,Shudder,Jelani Aryeh,2024-04-16,3,23,https://i.scdn.co/image/ab67616d00001e02e0357f30a2c556e0ad5ab510
48RK0tOaRdgmliEhNBLUXe,BREAK A NECK,Odetari,2024-04-18,2,24,https://i.scdn.co/image/ab67616d00001e02af8f5bc99a45a29c8cf88db6
3QuRvvoQDqZybOukNzNu3V,It Is What It Is,Rachel Chinouriri,2024-04-19,3,29,https://i.scdn.co/image/ab67616d00001e026bc574444801f37b3825505d
76AAYzJLL9rJHfOkPNAeB9,How You Feel (Ft. Leven Kali),ANOTR,2024-04-19,1,58,https://i.scdn.co/image/ab67616d00001e02e6ef824871ae510415373427
5O4v55zC7ya6mxjiQ2xJRU,Reptilia,Ricky Montgomery,2024-04-19,3,25,https://i.scdn.co/image/ab67616d00001e0227771db5b1d84ec59cb0ab1c
1kfbsMBtTpCrrXqUnBYjjH,That's My Girl & Tired,Russ,2024-04-19,2,51,https://i.scdn.co/image/ab67616d00001e026c7cececb148dd683e5e6eb0
5YoeeJL0Ks1sYbc79jOBO7,Nothing To Do,Kings of Leon,2024-04-19,3,26,https://i.scdn.co/image/ab67616d00001e028c61853889028b5055be56d1
3yscJ56s1RNgZSZngqDBNa,Why is everyone a DJ?,LAUNDRY DAY,2024-04-19,1,27,https://i.scdn.co/image/ab67616d00001e02f0279bffb2c31261f755f068
3uhGsFAXshXmRs9qLiYqGz,CHILDREN OF THE SLUMS,Mozzy,2024-04-19,17,44,https://i.scdn.co/image/ab67616d00001e024b44752194bb738d3d48720c
204AnaLrCMvOeXCCO5JqH1,Pirates & Parrots (feat. Mac McAnally),Zac Brown Band,2024-04-19,2,36,https://i.scdn.co/image/ab67616d00001e02c7d0465ab93c9c3747d11900
3dSpkvGKm8sUghxdS1pvwE,ES SOLO MÚSICA,iñigo quintero,2024-04-19,5,50,https://i.scdn.co/image/ab67616d00001e02a9fc766142d18e2d51d46581
5VJTZMk9joIX2t80S9e6ov,Your Day Will Come,Chanel Beads,2024-04-19,9,35,https://i.scdn.co/image/ab67616d00001e02fe74b3b1aba7a87f83b085ed
4ZfTvGloipTYCjdwdO93nX,Live on Mountain Stage: Outlaws & Outliers,Various Artists,2024-04-19,21,0,https://i.scdn.co/image/ab67616d00001e029e919690e7f313a0c21180d2
6URXDFFdBVEQUA7eCLfHVo,Maybe,BUNT.,2024-04-19,1,44,https://i.scdn.co/image/ab67616d00001e02732e7af53674e38da11ee782
3bSNhnaQQXpC639OQ4pMyP,WE STILL DON'T TRUST YOU,Future,2024-04-12,25,75,https://i.scdn.co/image/ab67616d00001e02d353552c4c2932094456bbe9
