name,gender
Dream Supplier,Not found
Taylor Swift,female
Chris Stapleton,male
Juice WRLD,male
Playboi Carti,male
The Weeknd,male
Adrianne Lenker,female
21 Savage,male
King Von,male
Steve Lacy,male
Conan Gray,male
Bad Bunny,male
Polo G,male
Drake,male
Brent Faiyaz,male
Tame Impala,Unknown
King Von,male
Lil Uzi Vert,non-binary
Lil Baby,male
Don Toliver,male
Miracle Tones,Not found
Glass Animals,Unknown
Mac Miller,male
$uicideboy$,Unknown
Taylor Swift,female
Pop Smoke,male
Miracle Tones,Not found
Gracie Abrams,female
Dua Lipa,female
Ariana Grande,female
chill phil,Not found
GIVĒON,male
Phoebe Bridgers,female
Zach Bryan,male
The Strokes,Unknown
Bryson Tiller,male
Noah Kahan,male
Hotel Ugly,Unknown
Kali Uchis,female
Taylor Swift,female
Key Glock,male
Bad Bunny,male
Gunna,Unknown
YoungBoy Never Broke Again,male
Joji,male
Zach Bryan,male
Eminem,male
Lil Baby,male
Future,Unknown
Halsey,Unknown
Rauw Alejandro,male
Timo Krantz,Not found
Ava Max,female
Eslabon Armado,Unknown
Charli xcx,female
mgk,male
Diplo,male
Lullaby Time,Not found
Lil Uzi Vert,non-binary
Young Dolph,male
Luke Combs,male
HARDY,Unknown
"Tyler, The Creator",male
Lee Brice,male
Miley Cyrus,genderfluid
5 Seconds of Summer,Unknown
NLE Choppa,male
Gabby Barrett,female
Rod Wave,male
Wiz Khalifa,male
Lil Yachty,male
Dominic Fike,male
Brandon Lake,male
J Balvin,male
Lil Tecca,male
Ken Carson,male
Megan Thee Stallion,female
Selena Gomez,female
The Neighbourhood,Unknown
Lil Yachty,male
TV Girl,Unknown
Jelly Roll,Unknown
Ozzy Osbourne,male
Rod Wave,male
Sam Hunt,male
Eyedress,male
Junior H,Unknown
Mt. Joy,Unknown
Dua Lipa,female
Noah Cyrus,female
Koe Wetzel,male
Tems,female
Jack Harlow,male
Lil Durk,male
Pop Smoke,male
Loathe,Unknown
Shoreline Mafia,Unknown
Gunna,Unknown
Eslabon Armado,Unknown
Justin Bieber,male
Penelope Scott,female
Lady Gaga,female
Jhené Aiko,female
Thundercat,male
Tate McRae,female
Sir Chloe,Unknown
Elevation Worship,Unknown
BTS,Unknown
Sam Smith,non-binary
Bring Me The Horizon,Unknown
Trippie Redd,male
Luke Bryan,male
Taylor Swift,female
Khruangbin,Unknown
Junior H,Unknown
Various Artists,Unknown
Kehlani,non-binary
We The Kingdom,Unknown
Colter Wall,male
Kygo,male
Pop Smoke,male
blackbear,male
Tory Lanez,male
Jelly Roll,Unknown
Freddie Gibbs,male
BLACKPINK,Unknown
Eslabon Armado,Unknown
Thee Sacred Souls,Unknown
Sleepy Hallow,male
Powfu,male
Maluma,Unknown
PARTYNEXTDOOR,Unknown
Clams Casino,male
BTS,Unknown
wave to earth,Unknown
La Adictiva,Unknown
StaySolidRocky,male
Future,Unknown
Myke Towers,male
Jack Harlow,male
Will Wood,male
Ellie Goulding,female
Cleo Sol,female
Brent Cobb,male
SZA,female
Matt Maltese,male
Shelly,Unknown
Muscadine Bloodline,Not found
Five Finger Death Punch,Unknown
Lauv,Unknown
A Boogie Wit da Hoodie,male
Coyote Theory,Not found
Jdot Breezy,male
DaBaby,male
Niall Horan,male
Internet Money,Unknown
Kid Cudi,male
Dustin Lynch,male
Doechii,female
A Boogie Wit da Hoodie,male
LUCKI,male
The Weeknd,male
VOILÀ,Unknown
Cardi B,female
Lizzy McAlpine,female
G Herbo,male
Moneybagg Yo,male
Junior H,Unknown
Beach Bunny,Unknown
Joyner Lucas,male
Anuel AA,male
Bee Gees,Unknown
